id,titulo,autores,anio_nacimiento_autor,anio_muerte_autor,materias,estanterias,idiomas,copyright,tipo_medio,descargas
589,Catriona,"Stevenson, Robert Louis",1850.0,1894.0,Adventure stories; Scotland -- History -- 18th century -- Fiction,Adventure; Category: Adventure; Category: British Literature; Category: Historical Novels; Category: Novels; Category: Romance; Historical Fiction,en,False,Text,68522
17157,Gulliver's Travels into Several Remote Regions of the World,"Swift, Jonathan",1667.0,1745.0,"Fantasy fiction; Gulliver, Lemuel (Fictitious character) -- Fiction; Satire; Travelers -- Fiction; Voyages, Imaginary -- Early works to 1800",Category: Adventure; Category: British Literature; Category: Classics of Literature; Category: Humour; Category: Novels; Category: Science-Fiction & Fantasy,en,False,Text,68283
10441,The Green Mouse,"Chambers, Robert W. (Robert William)",1865.0,1933.0,Courtship -- Fiction; Fantasy fiction; Magic -- Fiction; New York (N.Y.) -- Fiction,Category: American Literature; Category: Humour; Category: Novels; Category: Romance,en,False,Text,67318
38983,"The Camp Fire Girls Solve a Mystery; Or, The Christmas Adventure at Carver House","Frey, Hildegard G.",1891.0,1957.0,Camp Fire Girls -- Juvenile fiction; Clubs -- Juvenile fiction; Family -- Juvenile fiction; Mystery and detective stories; Prudence -- Juvenile fiction; Thoughtfulness -- Juvenile fiction,"Category: Adventure; Category: Children & Young Adult Reading; Category: Crime, Thrillers and Mystery; Category: Novels; Christmas",en,False,Text,67181
20546,The Hand in the Dark,"Rees, Arthur J. (Arthur John)",1872.0,1942.0,Detective and mystery stories,"Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Detective Fiction",en,False,Text,66961
13951,Les trois mousquetaires,"Dumas, Alexandre, Maquet, Auguste",1802.0,1870.0,"Adventure and adventurers -- Fiction; France -- History -- Louis XIII, 1610-1643 -- Fiction; Historical fiction; Swordsmen -- Fiction",Category: Adventure; Category: Classics of Literature; Category: French Literature; Category: Historical Novels; FR Littérature; Historical Fiction,fr,False,Text,66748
244,A Study in Scarlet,"Doyle, Arthur Conan",1859.0,1930.0,"Detective and mystery stories; England -- Fiction; Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction","Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Detective Fiction",en,False,Text,66652
19919,Maman Léo: Les Habits Noirs Tome V,"Féval, Paul",1817.0,1887.0,French fiction -- 19th century,"Category: Crime, Thrillers and Mystery; Category: French Literature; Category: Novels; FR Littérature",fr,False,Text,66558
161,Sense and Sensibility,"Austen, Jane",1775.0,1817.0,Domestic fiction; England -- Fiction; England -- Social life and customs -- 19th century -- Fiction; Gentry -- England -- Fiction; Inheritance and succession -- Fiction; Love stories; Mate selection -- Fiction; Regency fiction; Sisters -- Fiction; Social classes -- Fiction; Young women -- Fiction,Category: British Literature; Category: Classics of Literature; Category: Novels; Category: Romance,en,False,Text,66470
18151,Time Crime,"Piper, H. Beam",1904.0,1964.0,Science fiction,"Category: Crime, Thrillers and Mystery; Category: Science-Fiction & Fantasy; Science Fiction",en,False,Text,66343
20121,Lone Star Planet,"Piper, H. Beam, McGuire, John J. (John Joseph)",1904.0,1964.0,Science fiction; Space colonies -- Fiction,"Category: Crime, Thrillers and Mystery; Category: Science-Fiction & Fantasy; Science Fiction",en,False,Text,66217
560,Mr. Standfast,"Buchan, John",1875.0,1940.0,"Hannay, Richard (Fictitious character) -- Fiction; Intelligence service -- Great Britain -- Fiction; Spy stories; War stories; World War, 1914-1918 -- Fiction","Adventure; Category: Adventure; Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Historical Novels; Category: Novels; Contemporary Reviews; Movie Books; World War I",en,False,Text,66098
20628,Torchy and Vee,"Ford, Sewell",1868.0,1946.0,"Humorous stories; New York (N.Y.) -- Fiction; Private secretaries -- Fiction; World War, 1914-1918 -- United States -- Fiction",Category: American Literature; Category: Novels; Category: Romance,en,False,Text,65878
7889,Erotica Romana,"Goethe, Johann Wolfgang von",1749.0,1832.0,German poetry -- Translations into English,Category: German Literature; Category: Poetry; Category: Romance; Category: Sexuality & Erotica; Erotic Fiction,en,False,Text,65741
