key,titulo,autores,cantidad_ediciones,anio_primera_publicacion,materias,tiene_texto_completo,id_internet_archive,id_portada
/works/OL23797W,The Riddle of the Sands,Erskine Childers,532,1903,"Great britain, fiction; Fiction, action & adventure; Fiction, thrillers, espionage; Fiction, alternative history; Fiction, sea stories; Large type books; Fiction; Invasions; History; Secret service",True,riddlesandsarec00chilgoog,2293974
/works/OL41072W,The Murders in the Rue Morgue,Edgar Allan Poe,532,1841,"Murder; Fiction; American Detective and mystery stories; C. Auguste Dupin (Fictitious character); Fiction, mystery & detective, general; Dupin, auguste (fictitious character), fiction; Libros de lectura; Ingle s; France, fiction; Paris (france), fiction",True,Edgar_Allan_Poe_-_Double_Assassinat_Dans_La_Rue_Morgue,11774455
/works/OL262463W,Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,530,1893,Crime & Mystery; catalepsy; amyl nitrate; suicide by hanging; broughams; ancestors; asphyxiation; blackmail; brandy; brokers,True,memoirsofsherloc0000sira_g5c8,9246429
/works/OL262384W,The Sea Fairies,L. Frank Baum,528,1911,"Children's stories; Juvenile fiction; Classic Literature; Fiction; Children's fiction; Fantasy fiction; Fantasy; Fiction, historical, general; Sea stories; Mermaids",True,seafairies00baum,1814237
/works/OL1063588W,Les Misérables,Victor Hugo,526,1862,Poverty; Fiction; Readers; Ex-convicts; History; Historical fiction; French fiction; Continental european fiction (fictional works by one author); Orphans; Literature and fiction (general),True,lesmiserables0000unse_b9l1,12721865
/works/OL258713W,"Henry VI, Part 3",William Shakespeare,523,1600,"Drama; Fiction; History; Henry vi, king of england, 1421-1471, drama; British and irish drama (dramatic works by one author); Shakespeare, william, 1564-1616, king henry vi; Historical drama; English Historical drama; Great Britain; Shakespeare, william, 1564-1616, king henry iv",True,kuningashenrikku40174gut,7182904
/works/OL39396W,To the Lighthouse,Virginia Woolf,521,1927,Fiction; Married people; Death; Mothers; Summer resorts; Loss (Psychology); English; Lighthouses; Widowers; Marriage,True,to-the-lighthouse-1927,8231846
/works/OL76325W,The Club of Queer Trades,Gilbert Keith Chesterton,521,1900,"English Detective and mystery stories; Classic Literature; Fiction; Mystery fiction; British and irish fiction (fictional works by one author); Fiction, mystery & detective, short stories; Fiction, mystery & detective, traditional; Fiction, historical, general; Fiction, mystery & detective, collections & anthologies; Private investigators",True,queertrades00chesuoft,8242288
/works/OL76501W,Greenmantle,John Buchan,521,1915,"Fiction, thrillers, espionage; Hannay, richard (fictitious character), fiction; Great britain, fiction; World war, 1914-1918, fiction; Fiction, war & military; Richard Hannay (Fictitious character); World War, 1914-1918; Literature; Mystery; Fiction",True,greenmantle0000buch,93023
/works/OL1352097W,Moonfleet,John Meade Falkner,520,1898,"Smuggling; Juvenile fiction; Adventure and adventurers, fiction; Friendship, fiction; Children's fiction; Crime, fiction; England, fiction; Fantasy fiction; Children's stories, English; Adventure stories",True,bwb_P8-AGR-110,1118027
/works/OL1095403W,"Villette, a novel",Charlotte Brontë,519,1853,"Fiction; Women teachers; Separation (Psychology); British; British and irish fiction (fictional works by one author); Belgium, fiction; Man-woman relationships, fiction; Teachers, fiction; Fiction, psychological; Fiction, romance, general",True,villette131bron,5737854
/works/OL17761452W,Little men,Louisa May Alcott,517,1885,Louisa May Alcott; Children; Children's; Kid's; Juvenile; History; Historical; Fiction; Classic; Literature,True,littlemenlifeatp00alco_1,8043576
/works/OL81180W,Lady Chatterley's Lover,D. H. Lawrence,515,1900,"Sexual behavior; Married women; Adultery; Nobility; Fiction; Classic Literature; Gamekeepers; England; Man-woman relationships, fiction; Aristocracy (Social class)",True,ladychatterleysl0000dhla_o6r7,12983362
/works/OL262341W,Baum's American Fairy Tales,L. Frank Baum,514,1901,"Children's stories, American; Juvenile Fiction; Fiction; Fantasy; Fairy tales; Classic Literature; Short stories; Tales, united states; Contes de fées",True,americanfairytal0000baum,709869
/works/OL17453W,She,H. Rider Haggard,510,1886,Fiction in English; Adventure and adventurers; Reincarnation; Fiction inEnglish; Allan Quatermain (Fictitious character); English Adventure stories; Fiction; Immortalism; Adventure; Open Library Staff Picks,True,bwb_KR-530-657,295537
/works/OL8269770W,The Happy Prince and other tales,Oscar Wilde,508,1888,"Fairy tales; Large type books; Children's fiction; Humour; Contes; Short stories; Children's stories, English; Children's short stories; Fiction; Classic Literature",True,happyprince00wild,10608467
/works/OL17465W,Allan Quatermain,H. Rider Haggard,506,1887,"Children's fiction; Adventure and adventurers, fiction; Adventure stories; Adventure and adventurers; Allan Quatermain (Fictitious character); Fiction; Hunting guides; Fiction, general; Literature; Africa",True,allanquatermain0000hrid,830243
